Año,Nombre,Frecuencia,Género
2002,ALEJANDRO,8020,Hombre
2002,PABLO,5799,Hombre
2002,DANIEL,5603,Hombre
2002,DAVID,5414,Hombre
2002,ADRIAN,4949,Hombre
2002,JAVIER,4909,Hombre
2002,ALVARO,4595,Hombre
2002,SERGIO,3744,Hombre
2002,CARLOS,3593,Hombre
2002,MARIO,2876,Hombre
2002,JORGE,2867,Hombre
2002,RAUL,2722,Hombre
2002,MANUEL,2696,Hombre
2002,DIEGO,2688,Hombre
2002,MIGUEL,2644,Hombre
2002,IVAN,2636,Hombre
2002,ANTONIO,2518,Hombre
2002,JUAN,2323,Hombre
2002,RUBEN,2201,Hombre
2002,VICTOR,2077,Hombre
2002,ALBERTO,1980,Hombre
2002,JESUS,1875,Hombre
2002,MARC,1848,Hombre
2002,OSCAR,1811,Hombre
2002,ANGEL,1756,Hombre
2002,FRANCISCO,1731,Hombre
2002,JOSE,1647,Hombre
2002,ALEX,1610,Hombre
2002,MARCOS,1582,Hombre
2002,JAIME,1413,Hombre
2002,ISMAEL,1387,Hombre
2002,LUIS,1335,Hombre
2002,FRANCISCO JAVIER,1300,Hombre
2002,MIGUEL ANGEL,1296,Hombre
2002,PEDRO,1264,Hombre
2002,SAMUEL,1227,Hombre
2002,CRISTIAN,1190,Hombre
2002,JOSE ANTONIO,1187,Hombre
2002,PAU,1186,Hombre
2002,IKER,1178,Hombre
2002,ANDRES,1174,Hombre
2002,GUILLERMO,1156,Hombre
2002,RAFAEL,1154,Hombre
2002,IGNACIO,1145,Hombre
2002,FERNANDO,1131,Hombre
2002,JOSE MANUEL,1131,Hombre
2002,NICOLAS,1025,Hombre
2002,GONZALO,1012,Hombre
2002,GABRIEL,1005,Hombre
2002,HUGO,953,Hombre
2002,JOEL,944,Hombre
2002,JOAN,931,Hombre
2002,AARON,904,Hombre
2002,AITOR,870,Hombre
2002,POL,861,Hombre
2002,ENRIQUE,851,Hombre
2002,EDUARDO,805,Hombre
2002,JOSE LUIS,802,Hombre
2002,RODRIGO,780,Hombre
2002,ARNAU,772,Hombre
2002,JORDI,771,Hombre
2002,JUAN JOSE,755,Hombre
2002,ROBERTO,753,Hombre
2002,SANTIAGO,735,Hombre
2002,CHRISTIAN,688,Hombre
2002,JUAN MANUEL,688,Hombre
2002,JOSE MARIA,679,Hombre
2002,ERIC,654,Hombre
2002,LUCAS,651,Hombre
2002,GERARD,619,Hombre
2002,HECTOR,619,Hombre
2002,JUAN CARLOS,609,Hombre
2002,SERGI,602,Hombre
2002,MARTIN,597,Hombre
2002,JUAN ANTONIO,578,Hombre
2002,UNAI,578,Hombre
2002,ADRIA,536,Hombre
2002,KEVIN,535,Hombre
2002,FRANCISCO JOSE,530,Hombre
2002,XAVIER,529,Hombre
2002,ASIER,521,Hombre
2002,ALBERT,518,Hombre
2002,JOAQUIN,498,Hombre
2002,ORIOL,489,Hombre
2002,BORJA,480,Hombre
2002,MOHAMED,472,Hombre
2002,MIKEL,465,Hombre
2002,JONATHAN,462,Hombre
2002,JON,453,Hombre
2002,ALFONSO,450,Hombre
2002,GUILLEM,441,Hombre
2002,RICARDO,413,Hombre
2002,CESAR,409,Hombre
2002,ISAAC,398,Hombre
2002,RAMON,398,Hombre
2002,JOSE MIGUEL,389,Hombre
2002,ANDER,382,Hombre
2002,MARCO,374,Hombre
